,SIM Time,Waiting Time,Waiting Car,Action,Reward
211,212,32.0,14,[24],7
212,213,40.0,14,[8],7
213,214,50.0,14,[16],7
214,215,61.0,14,[48],7
215,216,73.0,14,[8],7
216,217,75.0,15,[52],7
217,218,83.0,15,[24],7
218,219,93.0,16,[52],7
219,220,103.0,15,[8],7
220,221,98.0,14,[32],7
221,222,107.0,14,[64],7
222,223,116.0,13,[32],7
223,224,126.0,14,[64],7
224,225,136.0,14,[8],7
225,226,122.0,15,[52],7
226,227,109.0,15,[48],7
227,228,98.0,13,[16],7
228,229,86.0,13,[32],7
229,230,93.0,12,[48],7
230,231,79.0,11,[8],7
231,232,65.0,12,[16],7
232,233,50.0,10,[64],7
233,234,34.0,10,[48],7
234,235,18.0,9,[32],7
235,236,20.0,9,[8],7
236,237,22.0,8,[8],7
237,238,24.0,9,[64],7
238,239,26.0,9,[32],7
239,240,28.0,10,[24],7
240,241,30.0,11,[48],7
241,242,32.0,10,[32],7
242,243,34.0,13,[32],7
243,244,36.0,11,[24],7
244,245,38.0,11,[24],7
245,246,40.0,13,[52],7
246,247,42.0,13,[16],7
247,248,21.0,13,[24],7
248,249,0.0,10,[8],7
249,250,1.0,10,[24],7
250,251,2.0,11,[64],7
251,252,4.0,10,[52],7
252,253,7.0,11,[48],7
253,254,10.0,11,[52],7
254,255,14.0,12,[48],7
255,256,18.0,14,[64],7
256,257,22.0,13,[8],7
257,258,27.0,13,[24],7
258,259,33.0,14,[64],7
259,260,40.0,13,[16],7
260,261,48.0,13,[48],7
261,262,57.0,15,[8],7
262,263,66.0,15,[8],7
263,264,76.0,14,[64],7
264,265,87.0,15,[48],7
265,266,99.0,16,[32],7
266,267,96.0,17,[16],7
267,268,101.0,17,[8],7
268,269,110.0,17,[8],7
269,270,98.0,18,[64],7
270,271,86.0,19,[16],7
271,272,73.0,20,[48],7
272,273,61.0,18,[24],7
273,274,51.0,18,[8],7
274,275,41.0,18,[8],7
275,276,30.0,18,[8],7
276,277,21.0,18,[64],7
277,278,11.0,18,[32],7
278,279,14.0,16,[16],7
279,280,17.0,16,[48],7
280,281,21.0,17,[52],7
281,282,25.0,16,[8],7
282,283,29.0,16,[48],7
283,284,33.0,15,[64],7
284,285,38.0,16,[32],7
285,286,43.0,15,[52],7
286,287,48.0,15,[32],7
287,288,53.0,15,[48],7
288,289,59.0,15,[52],7
289,290,65.0,16,[48],7
290,291,58.0,15,[8],7
291,292,32.0,16,[32],7
292,293,8.0,16,[8],7
293,294,5.0,15,[24],7
294,295,5.0,14,[16],7
295,296,7.0,16,[16],7
296,297,10.0,16,[64],7
297,298,14.0,16,[48],7
298,299,20.0,18,[32],7
299,300,28.0,17,[64],7
300,301,35.0,18,[16],7
301,302,45.0,17,[8],7
302,303,55.0,17,[48],7
303,304,67.0,18,[48],7
304,305,67.0,17,[32],7
305,306,74.0,16,[24],7
306,307,82.0,17,[52],7
307,308,89.0,15,[24],7
308,309,100.0,16,[64],7
309,310,111.0,17,[52],7
310,311,122.0,17,[8],7
311,312,134.0,16,[16],7
312,313,148.0,17,[16],7
313,314,131.0,17,[32],7
314,315,121.0,16,[16],7
315,316,112.0,16,[8],7
316,317,102.0,17,[52],7
317,318,91.0,17,[8],7
318,319,81.0,15,[16],7
319,320,68.0,14,[48],7
320,321,56.0,14,[52],7
321,322,45.0,15,[32],7
322,323,50.0,13,[52],7
323,324,37.0,14,[32],7
324,325,41.0,12,[32],7
325,326,45.0,12,[24],7
326,327,49.0,12,[48],7
327,328,53.0,14,[64],7
328,329,57.0,13,[32],7
329,330,61.0,14,[8],7
330,331,66.0,13,[52],7
331,332,71.0,13,[8],7
332,333,76.0,13,[32],7
333,334,81.0,16,[52],7
334,335,66.0,14,[32],7
335,336,30.0,15,[48],7
336,337,2.0,16,[52],7
337,338,2.0,15,[52],7
338,339,4.0,16,[24],7
339,340,6.0,14,[8],7
340,341,8.0,13,[52],7
341,342,11.0,14,[32],7
342,343,16.0,13,[8],7
343,344,21.0,13,[8],7
344,345,27.0,14,[52],7
345,346,34.0,13,[64],7
346,347,42.0,13,[48],7
347,348,51.0,14,[24],7
348,349,61.0,15,[64],7
349,350,72.0,16,[8],7
350,351,83.0,15,[8],7
351,352,77.0,15,[8],7
352,353,86.0,14,[16],7
